location,text,hashtags,tweetcreatedts
NEW YORK STRONG,"""Be afraid of COVID,"" New York Gov. Andrew Cuomo says, following Pres. Trump tweet telling Americans not to be afraid of the coronavirus. https://t.co/QNamfpPvxA

""I think he's right now doing a public disservice."" https://t.co/t99fuhUTz1",[],2020-10-06 23:32:20
Chicago Illinois ,The Ultimate Scam. ⁦@realDonaldTrump⁩ gets it too. Ultimate Proof: Covid-19 Was Planned To Usher In The New World Order | https://t.co/XDK7CgbPAi,[],2020-10-06 23:32:18
"New York, NY",The original WH basement skull polisher is in a personal battle with #coronavirus. Even his vampire disguise could not stop a deadly pathogen from invading his Neo-Nazi body. His own uncle disowned him. Remember this? #StephenMiller aka #SatansSnotRag https://t.co/rxPwbYIbZi,"[{'text': 'coronavirus', 'indices': [69, 81]}, {'text': 'StephenMiller', 'indices': [218, 232]}, {'text': 'SatansSnotRag', 'indices': [237, 251]}]",2020-10-06 23:32:18
 Los Angeles,A fourth press aide has tested positive for coronavirus. That means four press aides plus White House press Secretary Kayleigh McEnany are now positive. https://t.co/BAPtTNwsNr,[],2020-10-06 23:32:16
"New York, New York",".@SpeakerPelosi reacts to Trump calling off COVID-19 relief talks until after election: “Clearly, the White House is in complete disarray.”

@HeidiNBC reports.

Watch NOW: https://t.co/U4UZMHn7bF https://t.co/jtmSdHg2Mo",[],2020-10-06 23:32:16
Chicago,"BREAKING: Stephen Miller tests positive for COVID-19, will be transferred to a new human host as according to prophecy https://t.co/L3wZVMFjEL",[],2020-10-06 23:32:16
"Los Angeles, CA","Stephen Miller has COVID-19.

Our deepest condolences go out to all the families who have been separated, to those who have been dehumanized by Trump's horrific immigration policies, and to the migrants in detention centers who have been forgotten during this health pandemic.",[],2020-10-06 23:32:15
"Los Angeles, CA","We need a president that will take Covid-19 seriously.

29 days until the election. 

#Vote for @JoeBiden on Nov. 3rd","[{'text': 'Vote', 'indices': [102, 107]}]",2020-10-06 23:32:12
"New York, USA",GOP county chair in Arkansas dies from COVID-19 – his committee hosted a maskless gathering last month - https://t.co/2LB99dAs0h,[],2020-10-06 23:32:11
"Los Angeles, CA","New: There are now 123 front-line workers in the Capitol complex who have have tested positive—or are presumed positive—for COVID-19, according to House Admin GOP Spokesperson Ashley Phelps.

Story coming.",[],2020-10-06 23:32:11
Los Angeles,"Due to the concerning increase of COVID-19 cases and hospitalizations in the Green Bay area and across Wisconsin, the Packers have put an indefinite hold on hosting fans for games this season at Lambeau Field.",[],2020-10-06 23:32:10
"San Francisco, California","FOR THE RECORD: You can't get mad at US for saying ""karma"" when the assholes who refuse to wear a mask, and mock others for wearing masks, finally catch COVID-19.

That's how karma works, bitches.",[],2020-10-06 23:32:09
"New York, NY","BREAKING: Stephen Miller tests positive for COVID-19, will be transferred to a new human host as according to prophecy https://t.co/L3wZVMFjEL",[],2020-10-06 23:32:05
"New York, NY","BREAKING NEWS:  Military personnel who traveled with Trump now have #coronavirus 

This is the massive national security threat caused only by Trump &amp; the reason he needs to be removed from office now","[{'text': 'coronavirus', 'indices': [85, 97]}]",2020-10-06 23:32:04
Miami/Caracas,"If masks matter, why is Joe and Lester Holt maskless and everyone else here is wearing one? People!! Wearing a mask &amp; social distancing DOES NOT guarantee you will avoid Covid-19. ITS A VIRUS! Stop victim shaming and blaming people who have caught this. 
https://t.co/Rp1dEu18fy",[],2020-10-06 23:32:04
"New York, USA",CitrusTV will move forward with remote production following the COVID-19 outbreak on SU’s campus.,[],2020-10-06 23:32:02
Los Angeles,"BREAKING: Stephen Miller tests positive for COVID-19, will be transferred to a new human host as according to prophecy https://t.co/L3wZVMFjEL",[],2020-10-06 23:32:02
Sarasota/Chicago United States,BREAKING: The chairman of an Arkansas Republican group that held maskless event has died from COVID-19,[],2020-10-06 23:32:02
"Los Angeles, CA","Stephen Miller has Covid-19.

That’s it. That’s the tweet.",[],2020-10-06 23:31:59
New York City,"FOR THE RECORD: You can't get mad at US for saying ""karma"" when the assholes who refuse to wear a mask, and mock others for wearing masks, finally catch COVID-19.

That's how karma works, bitches.",[],2020-10-06 23:31:56
"New York, NY",Lana Del Rey saw backlash after wearing the covering to greet fans. She's hardly the first to wear one during the coronavirus pandemic. https://t.co/qMEdiVFUWj,[],2020-10-06 23:31:56
"Los Angeles, CA","Stephen Miller: *tests positive for COVID-19*

Me: https://t.co/qwIh9J2s3J",[],2020-10-06 23:31:56
"Los Angeles, CA",It takes a collective effort to ensure we meet the needs of all communities during these difficult times. Thank you @ASlavitt for discussing rapid screening and diagnostic testing with @rajshah on #InTheBubble. Read more on how we’re #MeetingThisMoment: https://t.co/WDL9uM56HR,[],2020-10-06 23:31:52
"New York, USA",GOP county chair in Arkansas dies from COVID-19 – his committee hosted a maskless gathering last month - https://t.co/2LB99dAs0h,[],2020-10-06 23:31:52
New York,I’m positive that Trump was positive for Covid-19 at the time of his debate with Joe Biden.,[],2020-10-06 23:31:52
"Los Angeles, CA",And that clever #coronavirus jumps species again. https://t.co/jc4iiRoaBL,"[{'text': 'coronavirus', 'indices': [16, 28]}]",2020-10-06 23:31:50
"Los Angeles, CA","What a surprise 🙄. 

DS/Democrat/NWO Bioweapon attack. 

https://t.co/gyYuvD8teZ",[],2020-10-06 23:31:49
"Los Angeles, CA","#BidenCares about families being able to pay their rent and feed their kids. 

Trump and Congressional Republicans, meanwhile, are turning their backs on them by refusing to crush the #coronavirus and moving forward to destroy people's pre-existing condition protections. #Vote","[{'text': 'BidenCares', 'indices': [16, 27]}]",2020-10-06 23:31:49
chicago,It was only a matter of time before COVID-19 went home. https://t.co/tFXbk8Wget,[],2020-10-06 23:31:48
San Francisco ,"#Stocks dropped suddenly on #WallStreet Tuesday after President #Trump ordered a stop to negotiations with Democrats over another round of stimulus for the economy, which has been punched into a recession by shutdowns related to the #coronavirus pandemic. https://t.co/kTk2F83WkY","[{'text': 'Stocks', 'indices': [0, 7]}, {'text': 'WallStreet', 'indices': [28, 39]}, {'text': 'Trump', 'indices': [64, 70]}, {'text': 'coronavirus', 'indices': [233, 245]}]",2020-10-06 23:31:48
New York City,"And now 17, that’s SEVENTEEN, individuals linked to WH and campaign who have tested positive for covid-19.",[],2020-10-06 23:31:47
Los Angeles,"Reminder that when we first reported that Stephen Miller's grandmother died of  COVID,  he denied it, despite  her kids statements and her death certificate https://t.co/kBz9aqUeNc",[],2020-10-06 23:31:46
New York/New Jersey,JUST IN — Stephen Miller has tested POSITIVE for COVID-19.,[],2020-10-06 23:31:43
"New York, USA","JUST IN: Trump adviser Stephen Miller has tested positive for Covid-19, a senior admin. official says - @HallieJackson",[],2020-10-06 23:31:43
"Los Angeles, CA",would be massively hilarious if Trump's Supreme Court pick tested positive for Covid-19,[],2020-10-06 23:31:37
"New York, NY","Reminder: Even as Katie Miller had COVID-19 over the summer, that doesn't guarantee her immunity. Nothing does yet.",[],2020-10-06 23:31:35
"New York, USA","Nancy Pelosi is asking for $2.4 Trillion Dollars to bailout poorly run, high crime, Democrat States, money that is in no way related to COVID-19. We made a very generous offer of $1.6 Trillion Dollars and, as usual, she is not negotiating in good faith. I am rejecting their...",[],2020-10-06 23:31:35
"Miami, FL",Life comes at you fast https://t.co/wt2FPPQ6Cb https://t.co/jXzyM2NSJp,[],2020-10-06 23:31:33
New York City,"BREAKING: Stephen Miller tests positive for COVID-19, will be transferred to a new human host as according to prophecy https://t.co/L3wZVMFjEL",[],2020-10-06 23:31:33
"San Francisco, CA","BREAKING: Stephen Miller tests positive for COVID-19, will be transferred to a new human host as according to prophecy https://t.co/L3wZVMFjEL",[],2020-10-06 23:31:29
Los Angeles,"Stephen Miller, architect of Trump's immigration and refugee policies, has tested positive for COVID-19 https://t.co/23z2TsF9Sj",[],2020-10-06 23:31:29
"Los Angeles, CA",BREAKING: White supremacist and top Trump advisor Stephen Miller has tested positive for Covid-19.,[],2020-10-06 23:31:29
"Los Angeles, CA",#Populationcontrol. That's why it was still available during #Covid_19 #alcohol https://t.co/RvqnDKLvjf,"[{'text': 'Populationcontrol', 'indices': [0, 18]}, {'text': 'Covid_19', 'indices': [61, 70]}, {'text': 'alcohol', 'indices': [71, 79]}]",2020-10-06 23:31:28
"Los Angeles, CA","At least 10 people who work in the White House are infected with Covid-19.  Let’s just call him what he is; #TyphoidTrump!  He’s a #superspreader!  And not just of disinformation, hate, paranoia, chauvinism, misogyny, chaos and deceit!  Don’t get near him! He will make you sick!","[{'text': 'TyphoidTrump', 'indices': [125, 138]}]",2020-10-06 23:31:27
Los Angeles ,When did the president last test negative for COVID-19? The people who employ him have the right to know. He is a public servant. @PressSec @BMorgenstern45 @DNC @SpeakerPelosi @AdamSchiff @senatemajldr @katieporteroc @realDonaldTrump,[],2020-10-06 23:31:26
"New York, USA",They thought they were trolling but they were just fresh fish.  #parody #artist #Halloween #SNL #memes #comedy #youtube #animation #gaming #twitch #Election2020 #hiphop #actor #TuesdayThoughts #popmusic #writer #politics #poetry #funny #horror #coronavirus #director #realtalk,"[{'text': 'parody', 'indices': [64, 71]}, {'text': 'artist', 'indices': [72, 79]}, {'text': 'Halloween', 'indices': [80, 90]}, {'text': 'SNL', 'indices': [91, 95]}, {'text': 'memes', 'indices': [96, 102]}, {'text': 'comedy', 'indices': [103, 110]}, {'text': 'youtube', 'indices': [111, 119]}, {'text': 'animation', 'indices': [120, 130]}, {'text': 'gaming', 'indices': [131, 138]}, {'text': 'twitch', 'indices': [139, 146]}, {'text': 'Election2020', 'indices': [147, 160]}, {'text': 'hiphop', 'indices': [161, 168]}, {'text': 'actor', 'indices': [169, 175]}, {'text': 'TuesdayThoughts', 'indices': [176, 192]}, {'text': 'popmusic', 'indices': [193, 202]}, {'text': 'writer', 'indices': [203, 210]}, {'text': 'politics', 'indices': [211, 220]}, {'text': 'poetry', 'indices': [221, 228]}, {'text': 'funny', 'indices': [229, 235]}, {'text': 'horror', 'indices': [236, 243]}, {'text': 'coronavirus', 'indices': [244, 256]}, {'text': 'director', 'indices': [257, 266]}, {'text': 'realtalk', 'indices': [267, 276]}]",2020-10-06 23:31:26
"San Francisco, CA","My god. 
“There are now 123 Legislative Branch employees or contractors who have tested positive — or are presumed positive — for COVID-19, according to Ashley Phelps, a Republican spokeswoman. This total has increased by 20 since Aug. 28.” https://t.co/cl4Rsk7Hhy",[],2020-10-06 23:31:24
los angeles,"At least 10 people who work in the White House are infected with Covid-19.  Let’s just call him what he is; #TyphoidTrump!  He’s a #superspreader!  And not just of disinformation, hate, paranoia, chauvinism, misogyny, chaos and deceit!  Don’t get near him! He will make you sick!","[{'text': 'TyphoidTrump', 'indices': [125, 138]}]",2020-10-06 23:31:22
"San Francisco, CA","DHS acknowledges that the choice to transfer people between ICE detention facilities has contributed to COVID-19 outbreaks. The only thing that’s surprising about this is that they admitted it. 

ICE can’t be trusted to keep anyone safe. #FreeThemAll https://t.co/2vlW85bhYK",[],2020-10-06 23:31:21
"Chicago, IL","Stephen Miller has Covid-19.

That’s it. That’s the tweet.",[],2020-10-06 23:31:20
"Los Angeles, California",@Acosta So the COVID-19 can transmit to non humans!,[],2020-10-06 23:31:19
"Silver Lake, Los Angeles",One more and we can officially call them the COVID 19.,[],2020-10-06 23:31:19
"New York, NY","Facebook Pulls Trump’s Post About Covid-19, Citing Misinformation Rules $TWTR https://t.co/pFmEx0eH69",[],2020-10-06 23:49:54
