location,text,hashtags,tweetcreatedts
"Los Angeles, CA",The GOP this cycle is cancelling debates if they can’t get a chance to infect their opponents with #COVID__19,"[{'text': 'COVID__19', 'indices': [120, 130]}]",2020-10-10 16:18:13
New York,The Trump administration has imposed strict limitations on funding of scientific research using fetal tissue. But the Covid-19 medicines lauded by the president were developed in part with  cells derived long ago from fetal tissue.  https://t.co/LfgOLaIRSe,[],2020-10-10 16:18:07
"Los Angeles, CA","I demand that @LindseyGrahamSC be tested for Covid-19 by an impartial professional and that he reveal the results before he returns to the Senate in any capacity. Everyone at Amy Coney Barrett's hearing should also be tested and cleared. 

Re-tweet it you agree.",[],2020-10-10 16:39:42
"Miami, FL","“Hancock says cancers will be treated if Covid-19 is 'under control’. “
 
Prioritising something with a 99%+ survival rate over Cancer, a disease that will inevitably kill those who have it, if not treated.

WHAT HAS HAPPENED TO US https://t.co/Zcylg1Zfee via @MailOnline",[],2020-10-10 16:39:40
Chicago IL,I know the parents of kids who take COVID-19 tests to go to school. It doesn’t seem unreasonable to ask a senator to do so before participating in a debate. This is just basic science during a pandemic.,[],2020-10-10 16:39:30
"Chicago, IL","Why did Donald Trump tell Bob Woodward the truth about COVID-19, but not the American people?",[],2020-10-10 16:39:30
New York,One of the worst things about not controlling the virus early is that it has created a class of citizens who are deciding to adapt to Covid-19 rather than avoid it. The way forward is through better coordinated public policy”  https://t.co/Xhylenq4QG,[],2020-10-10 16:38:46
New York,"With Sen. Graham refusing to take a Covid-19 test before his scheduled debate Friday with Democratic challenger Jaime Harrison, event organizers were forced to change the format, offering back-to-back, one-on-one interviews rather than a debate. https://t.co/POgIuBUJRz",[],2020-10-10 16:38:44
"Los Angeles, CA","#NowPlaying a @LatinoUSA podcast 

In this week’s episode, we follow the tumultuous summer of an Indigenous Mexican family who had been peacefully living in #Chicago and #Oaxaca, until COVID-19 arrived.

LISTEN HERE: https://t.co/YJwuoyDLpm https://t.co/1rj6Dwf7hz","[{'text': 'NowPlaying', 'indices': [15, 26]}]",2020-10-10 16:38:42
"Los Angeles, CA","@Cleavon_MD New COVID infections reported in the USA:

Sun.    Oct 4:  36,066
Mon.   Oct 5:  42,732
Tues.  Oct 6:  43,102
Weds. Oct 7:  53,478
Thurs. Oct 8:  57,539
Fri.      Oct 9:  60,715

Welcome to President Superspreader's Second Term.

#COVID__19 #coronavirus #VoteBlueToSaveAmerica https://t.co/kqPdlOr442",[],2020-10-10 16:38:41
"New York, NY",The GOP this cycle is cancelling debates if they can’t get a chance to infect their opponents with #COVID__19,"[{'text': 'COVID__19', 'indices': [120, 130]}]",2020-10-10 16:38:40
Los Angeles,"Trump blames Gold Star Families
for his coronavirus.

Have you ever seen a man blame everyone for all his failures
AND not once take accountability?

NOT ONE FUCKING TIME!
@realDonaldTrump 

#SaturdayThoughts
#BidenWillCrushCovid 
#Covid_19 
#KidVicious👊🏽

https://t.co/UDTbyetvtW",[],2020-10-10 16:38:37
San Francisco,"Disclaimer for Trump's rally in Florida: ""You and any guests voluntarily assume all risks related to exposure to COVID-19, and waive, release, and discharge Donald J. Trump for President, Inc.; the host venue; or any of their affiliates ... from any and all liability.""",[],2020-10-10 16:38:34
San Francisco Bay Area,"I demand that @LindseyGrahamSC be tested for Covid-19 by an impartial professional and that he reveal the results before he returns to the Senate in any capacity. Everyone at Amy Coney Barrett's hearing should also be tested and cleared. 

Re-tweet it you agree.",[],2020-10-10 16:38:29
Miami,Restaurants across Miami-Dade are close to getting longer operating hours as Miami-Dade prepares to roll back the current 11 p.m. COVID-19 curfew to midnight as @MayorGimenez eases a crackdown on nightlife. https://t.co/isB9ZCXIJi via @MiamiHerald @doug_hanks @MiamiDadeCounty,[],2020-10-10 16:38:25
