"","location","text","hashtags","tweetcreatedts"
"186","New York","trumps covid timeline","[]",2020-10-05
"187","San Francisco","cdc report known covid exposure tested negative rapid antigen test family vacation households four states ages got covid family visited amp stayed outside","[]",2020-10-05
"188","Chicago","trumps covid timeline","[]",2020-10-05
"189","Chicago","trumps covid timeline","[]",2020-10-05
"190","New York","confirmed greg laurie pastor harvest christian fellowship calif tested positive covid laurie rose garden event amy coney barrett reached religious leaders gathering incl jack graham harry jackson paula white reply","[]",2020-10-05
"191","Chicago","report trump kept quiet positive covid test","[]",2020-10-05
"192","San Francisco","times pres trump covid mocked masks","[]",2020-10-05
"193","San Francisco","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"194","New York","trump rest assured ll best health care meanwhile s currently trying rip health coverage million americans","[]",2020-10-05
"195","New York","almost covid cases reported today russia s peak levels early difference s spread country moscow third cases gt half regions reporting gt cases today","[]",2020-10-05
"196","Miami","premier league confirmed between monday september sunday october players club staff tested covid nine positive tests","[]",2020-10-05
"197","Miami","wttc weighs reopening covid","[{'text': 'traveladvisors', 'indices': [55, 70]}]",2020-10-05
"198","San Francisco","trumps covid timeline","[]",2020-10-05
"199","New York","trumps covid timeline","[]",2020-10-05
"200","Miami","trumps covid timeline","[]",2020-10-05
"201","Los Angeles","trumps covid timeline","[]",2020-10-05
"202","Chicago","doctors often face uncertainty regarding patient s optimal volume rely indirect proxy measures directly measure volume","[{'text': 'criticalcare', 'indices': [169, 182]}, {'text': 'ICU', 'indices': [183, 187]}, {'text': 'bloodvolume', 'indices': [188, 200]}, {'text': 'COVID', 'indices': [201, 207]}, {'text': 'treatment', 'indices': [211, 221]}]",2020-10-05
"203","Chicago","u sunday covid drive last straw medical judgement longer stand president","[]",2020-10-05
"204","Los Angeles","martin burns ceo recognized ceo awards silver winner category executive hero honouring martin s commitment donate worth sem scanners aid pi pu prevention during covid pandemic","[]",2020-10-05
"205","Los Angeles","donald trump full covid experience lets sure loses job evicted next month","[]",2020-10-05
"206","New York","covid infections past week mainland china cayman islands taiwan monaco zealand vietnam white","[]",2020-10-05
"207","New York","trump rest assured ll best health care meanwhile s currently trying rip health coverage million americans","[]",2020-10-05
"208","Chicago","dream earning extra income while improving health own high revenue potential check carelumina gt gt","[{'text': 'health', 'indices': [202, 209]}, {'text': 'wellness', 'indices': [210, 219]}, {'text': 'businessideas', 'indices': [220, 234]}, {'text': 'makemoney', 'indices': [235, 245]}, {'text': 'earnincome', 'indices': [246, 257]}, {'text': 'getilluminated', 'indices': [258, 273]}]",2020-10-05
"209","New York","trumps covid timeline","[]",2020-10-05
"210","Los Angeles","october total positive cases currently hospitalized positive cases covid report today pcr cases antigen cases active case numbers mwf report later today","[]",2020-10-05
"211","New York","failure lies covid blew face sick covid hes super spreader infected everyone wh","[]",2020-10-05
"212","New York","nyers hard hit covid pandemic rely food pantries tolive","[]",2020-10-05
"213","New York","president behind steering wheel weaving carelessly uncertain road coverage ought reflect writes","[]",2020-10-05
"214","Los Angeles","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"215","Los Angeles","donald trump proves narcissism cure covid","[]",2020-10-05
"216","Chicago","trumps covid timeline","[]",2020-10-05
"217","Los Angeles","cdc updated guidance covid spread publishing guidelines previously retracted virus spreads via close contact airborne spread beyond feet enclosed spaces w adequate ventilation","[]",2020-10-05
"218","New York","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"219","Los Angeles","trumps covid timeline","[]",2020-10-05
"220","Chicago","mitch might covid something","[]",2020-10-05
"221","New York","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"222","San Francisco","covid confusing ever thought turns mild moderate amp severe case once oxygen amp oxygen requires isolation amp car trip others nobody gets amp yourself","[]",2020-10-05
"223","Los Angeles","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"224","New York","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"225","Los Angeles","la regional covid fund offering grants amp non profits applications being accepted qualify","[{'text': 'SmallBusinesses', 'indices': [101, 117]}]",2020-10-05
"226","Los Angeles","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"227","New York","sheriffs office deployed pepper spray jails covid unit","[]",2020-10-05
"228","Los Angeles","trump loving pastor sick covid white event dc prayer march","[]",2020-10-05
"229","Miami","trump didn t drain swamp gave everyone covid","[]",2020-10-05
"230","New York","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"231","New York","breaking cdc restored guidelines tiny particles linger transmit coronavirus weeks deleting references role","[]",2020-10-05
"232","San Francisco","cdc restored covid guidelines acknowledgment tiny particles transmit coronavirus weeks deleting references role","[]",2020-10-05
"233","New York","hydroxychloroquine used save lives absolutely treated covid positive patients deaths hospitalization says california frontline physician brian tyson","[]",2020-10-05
"234","New York","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"235","New York","covid m automatically attracted masklessi start infecting s magnet infect don t wait re highly contagious virus republicans let anything grab em lungs anything","[]",2020-10-05
"236","Chicago","white u s states record increases cases weather cools","[{'text': 'COVID19', 'indices': [79, 87]}]",2020-10-05
"237","New York","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"238","New York","trumps covid timeline","[]",2020-10-05
"239","Miami","recorded cases covid white zealand taiwan vietnam combined million wtf banana republic u u u smart u cult members u","[]",2020-10-05
"240","Chicago","asked wh officials countless times dont wear masks always tested negative doesnt dont covid doesnt arent contagious case","[]",2020-10-05
"241","Los Angeles","s preschool white everybody passing those gems juice box nap t wait adults room","[]",2020-10-05
"242","Chicago","mayor lightfoot delaying city budget address week congress provide covid aid package city hall sources told","[]",2020-10-05
"243","Chicago","breaking cdc backtracks saying covid airborne transmission significant deleting reference website","[]",2020-10-05
"244","Miami","white press secretary kayleigh mcenany says tested positive covid","[{'text': 'BREAKING', 'indices': [10, 19]}]",2020-10-05
"245","San Francisco","trumps covid timeline","[]",2020-10-05
"246","Chicago","gop sen ron johnson oktoberfest party testing positive covid daily beast","[]",2020-10-05
"247","Los Angeles","covid taken toll state sales tax collections click wayfair ruling","[]",2020-10-05
"248","Chicago","ethical challenges using outweigh benefits examines key challenges facing medical industry via","[{'text': 'AI', 'indices': [48, 51]}, {'text': 'healthcare', 'indices': [55, 66]}]",2020-10-05
"249","Los Angeles","feeding american public dangerous misinformation regarding coronavirus kayleigh mcenany tested positive covid","[]",2020-10-05
"250","New York","president trump s treatment regimen covid suggests s either being overtreated sicker being let based interviews physicians past days","[]",2020-10-05
"251","New York","trumps covid timeline","[]",2020-10-05
"252","Chicago","trumps covid timeline","[]",2020-10-05
"253","Los Angeles","trumps covid timeline","[]",2020-10-05
"254","New York","paula pryce bremmer york city died covid school counselor careers sports high school bronx education key success high pinnacle life","[]",2020-10-05
